source_id,target_id
35,33
13,33
1,40
1,49
45,28
21,9
15,23
41,42
42,41
10,45
7,28
16,40
34,30
48,47
17,23
35,10
49,9
42,25
25,18
45,5
35,37
37,1
31,15
27,8
30,4
34,23
50,13
20,42
37,28
43,16
8,25
44,24
13,21
2,27
37,3
14,10
6,36
23,49
24,14
4,45
19,27
18,7
7,16
48,17
8,45
39,32
49,34
6,29
46,47
43,48
32,2
3,30
29,49
32,20
45,39
42,40
16,21
5,48
32,41
46,40
15,34
6,31
22,27
6,40
43,4
36,29
47,29
13,9
33,21
34,50
11,36
15,27
32,43
23,19
4,15
23,28
12,28
3,25
47,22
24,2
36,22
7,50
25,10
48,5
11,20
27,37
22,50
10,39
43,36
40,37
27,30
28,38
3,48
23,5
48,34
21,17
41,50
49,42
50,25
42,30
21,1
2,30
35,27
12,7
31,20
18,20
21,19
15,33
24,45
37,18
28,15
36,28
27,25
19,21
36,37
13,20
7,22
1,36
4,14
34,15
10,11
30,23
46,16
5,42
41,38
40,18
42,37
26,19
21,14
38,21
29,18
2,46
8,7
39,40
5,17
29,48
2,9
45,44
46,9
20,45
11,21
26,3
40,2
3,38
38,14
16,11
